D=0.0,D=0.1,D=0.2,D=0.3,D=0.4
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0
4.000004140714109,4.000004140714109,4.000004140714109,4.000004140714109,4.000004140714109
4.000058567377762,4.000058544390954,4.000058521404146,4.000058498417338,4.00005847543053
4.000249949026904,4.000249636583226,4.000249324488245,4.0002490127419605,4.000248701344372
4.000692368737657,4.000690863149602,4.00068936234788,4.000687866322465,4.0006863750633315
4.00151823684611,4.001513494219348,4.001508777211681,4.001504085681158,4.00149941948621
4.002871863455264,4.002860130022892,4.002848486685635,4.002836932609688,4.002825466966943
4.004904809942522,4.004880014590079,4.004855466629774,4.004831162830891,4.004807099999125
4.007772475610416,4.007725604504067,4.00767930923568,4.007633580074444,4.007588407443431
4.011631568427712,4.011550035600804,4.011469692892673,4.01139051560847,4.011312479557174
4.016638223658771,4.016505247198873,4.016374519057348,4.016245983921481,4.01611958786166
4.022946606057788,4.0227405965430725,4.022538545718529,4.022340340967332,4.022145873007077
4.030707878241828,4.030401843913992,4.030102395690534,4.029809320940521,4.029522414305976
4.040069449590581,4.039630421170344,4.039201850890383,4.038783361108557,4.038374588830861
4.051174442093308,4.050562918975781,4.049967366671569,4.049387147596351,4.04882165180961
4.064161325278987,4.063330743974887,4.062523756610871,4.061739331665566,4.060976487036518
4.079163683775319,4.078059908809294,4.076990009997335,4.0759523781195535,4.07494548834709
4.096310089463213,4.094870926444994,4.093479213018531,4.092132516382257,4.090828542298719
4.115724056496178,4.11387878670216,4.112098551181867,4.110379771468318,4.108719088996647
4.137524062228695,4.135192997740507,4.132949375460953,4.130788057106643,4.128704243143512
4.161823620752656,4.158917678972605,4.156127318443448,4.153445317134597,4.150864961314012
4.18873139856425,4.185151694748493,4.181722449677324,4.178433704250788,4.175276244476732
4.218351364081944,4.213988820388156,4.209819461682225,4.20582978752099,4.202007367127617
4.250782964459655,4.245517933887252,4.240497879868184,4.235704781834138,4.231122126227429
4.286121324498502,4.279823227998962,4.273832291000742,4.268124793921365,4.262679104569598
4.324457463538375,4.3169844384853215,4.309892585955852,4.303151080668995,4.296731944335
