D=0.0,D=0.1,D=0.2,D=0.3,D=0.4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.008504328625408,0.008504328625408,0.008504328625408,0.008504328625408,0.008504328625408
0.0631061197655314,0.0630891111082806,0.0630721024510298,0.063055093793779,0.06303808513652819
0.1595762526454918,0.1594332856289992,0.1592904546817646,0.1591477598037879,0.15900520099506937
0.2943087009929648,0.2938483860828732,0.2933893478997705,0.2929315839944102,0.2924750919175456
0.464412424290805,0.4633683242038499,0.4623291571910693,0.4612948978919372,0.4602655210112409
0.6675663564251867,0.6656023377826774,0.6636515135987267,0.6617137703904545,0.6597889954144499
0.9018953840742698,0.8986093960440589,0.8953520942424346,0.8921231304906101,0.8889221603527676
1.1658775491928193,1.1608041992007652,1.155785393093049,1.1508202743509224,1.1459079993747892
1.4582749072092251,1.450887104706055,1.4435937015817188,1.436392877878164,1.4292828490427283
1.778081204188689,1.7677910714770668,1.757653315308957,1.747664452829049,1.7378210842013624
2.1244815667690937,2.110640765244078,2.0970330571849467,2.083652281571962,2.0704924512431298
2.4968209295036745,2.478720513644028,2.4609617680222007,2.443534442214764,2.4264286199091245
2.8945789459030924,2.871448831267064,2.848802457537928,2.8266235885365965,2.8048965881825554
3.317349802361348,3.288357914588288,3.260031495574294,3.232345843461311,3.2052772769294084
3.764825803130031,3.7290769604829537,3.6942216821124334,3.660223628813477,3.6270481204342957
4.236783900129659,4.193318471061098,4.1510283472675615,4.109861570456639,4.069768779273436
4.733074553848143,4.680866922492784,4.630177849982962,4.580934838170175,4.533069325090936
5.253612462263064,5.191569327999705,5.131457998557069,5.073179436049808,5.0166404053934315
5.798368803583072,5.7253273353991245,5.65471002777378,5.586384072357239,5.520225011206588
6.367364718564732,6.282090580561992,6.199821849456804,6.12038332093238,6.0436115548281695
6.960665817780912,6.861851078534877,6.766722354474298,6.675051848355698,6.586628027907637
7.578377544270626,7.464638479714143,7.355376590485937,7.25029952798336,7.1491370577293765
8.220641256459519,8.090516053367745,7.965781675115831,7.846067297889143,7.731031716043231
8.887630922883645,8.739577287787098,8.59796333159822,8.462323647517811,8.332231962993376
9.579550341051998,9.411943017418508,9.25197295530405,9.099061639537004,8.952681630725182
10.296630809170049,10.10775900391356,9.927885136377528,9.756296390450965,9.592345868602756
11.039129192459098,10.827193911206187,10.625795577062382,10.434062947094386,10.251208985747851
11.807326336215397,11.570437625252158,11.345819352970103,11.13241450696202,10.929272637629426
12.601525786135738,12.337699877539546,12.088089476130436,11.85142093905156,11.626554312303504
13.422052783229844,13.12920913833955,12.852755724616976,12.59116756895971,12.3430860790881
14.26925350617721,13.945211751253728,13.63998370920141,13.3517541977226,13.078913568311435
15.143494538525548,14.785971285187795,14.449954152123343,14.133294328600568,13.834095155566509
16.045162541868788,15.651768083646411,15.282862356874825,14.93591457988285,14.608701327853236
16.97466411924263,16.54289899435692,16.13891785105089,15.759754264993378,15.40281421225716
17.932425855558485,17.45967726481876,17.018344186937384,16.604965123844213,16.216527250532046
18.918894524061493,18.40243259153917,17.921378886695752,17.471711191610428,17.04994500522681
19.93453744962423,19.37151131253496,18.84827352084331,18.360168792971823,17.90318308490806
