D=0.0,D=0.1,D=0.2,D=0.3,D=0.4,D=0.5,D=0.6,D=0.7,D=0.8,D=0.9,D=1.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309,4.000000260715309
4.000003817658003,4.000003816920824,4.000003816183645,4.000003815446466,4.000003814709287,4.000003813972108,4.00000381323493,4.00000381249775,4.000003811760572,4.000003811023393,4.000003810286214
4.0000169259819485,4.000016915654439,4.000016905332612,4.000016895016469,4.0000168847060085,4.00001687440123,4.000016864102135,4.000016853808722,4.000016843520993,4.000016833238946,4.00001682296258
4.000048516863548,4.000048465407312,4.000048414031271,4.000048362735344,4.000048311519444,4.00004826038349,4.000048209327401,4.000048158351092,4.000048107454481,4.000048056637485,4.00004800590002
4.000109720875058,4.000109553701757,4.000109386971166,4.000109220682087,4.00010905483331,4.000108889423637,4.000108724451867,4.000108559916802,4.000108395817245,4.000108232152002,4.000108068919875
4.000213474134204,4.000213048626404,4.00021262472178,4.00021220241305,4.000211781692942,4.000211362554221,4.000210944989669,4.000210528992095,4.000210114554332,4.000209701669241,4.000209290329698
4.000374193066395,4.0003732699392325,4.000372351336583,4.0003714372293935,4.00037052758876,4.000369622385951,4.000368721592387,4.000367825179648,4.000366933119476,4.000366045383772,4.000365161944588
4.000607503884154,4.000605715661307,4.000603938243912,4.000602171542052,4.000600415466497,4.0005986699287215,4.000596934840889,4.000595210115847,4.000593495667131,4.000591791408953,4.000590097256198
4.000930015828154,4.000926833062833,4.000923673176049,4.000920535933675,4.000917421103921,4.000914328457341,4.000911257766805,4.000908208807468,4.000905181356772,4.000902175194407,4.000899190102301
4.001359129783492,4.001353825542282,4.001348565520043,4.001343349179434,4.001338175989726,4.001333045426764,4.001327956972873,4.001322910116796,4.001317904353627,4.00131293918473,4.001308014117682
4.001912875822628,4.001904488859804,4.001896181457834,4.001887952497041,4.00187980087412,4.001871725501944,4.00186372530934,4.001855799240863,4.001847946256607,4.001840165331978,4.001832455457495
4.002609774654159,4.002597071631214,4.002584503726289,4.002572068778091,4.002559764661907,4.002547589289057,4.002535540606312,4.002523616595317,4.002511815272063,4.002500134686317,4.002488572921096
4.003468719014141,4.003450156059746,4.003431811912614,4.00341368265221,4.003395764433386,4.003378053485033,4.0033605461087065,4.003343238677294,4.003326127633715,4.003309209489617,4.003292480824124
4.004508871830284,4.004482555686924,4.004456580015676,4.004430938061989,4.0044056232167335,4.004380629013209,4.00435594912417,4.004331577358921,4.004307507660479,4.004283734102768,4.004260250887891
4.005749578593906,4.005713227556764,4.0056773886253865,4.0056420506573485,4.005607202775722,4.00557283436293,4.005538935054705,4.005505494734189,4.005472503526163,4.005439951791402,4.005407830121151
4.007210291841848,4.007161196661595,4.007112849553312,4.007065232806308,4.0070183291725465,4.006972121854769,4.006926594494895,4.006881731162703,4.0068375163448,4.006793934933849,4.006750972218064
4.00891050601664,4.008845490909256,4.008781541124865,4.0087186294022645,4.0086567292548585,4.008595814948872,4.008535861482115,4.008476844563335,4.008418740592127,4.00836152663938,4.008305180428255
4.010869701263622,4.010785085146341,4.010701952642982,4.0106202629522425,4.010539976525515,4.0104610550285695,4.010383461304311,4.010307159336666,4.010232114215528,4.010158292102737,4.01008566019907
4.0131072949566375,4.0129988530087175,4.012892436773542,4.012787986674981,4.01268544510213,4.012584756344346,4.0124858665283245,4.012388723557211,4.012293277051673,4.012199478292849,4.012107280167151
4.015642599932567,4.015505525562242,4.015371168797705,4.015239444535911,4.015110270675152,4.014983568008473,4.014859260120736,4.014737273289262,4.014617536387922,4.0144999807945485,4.0143845403015685
4.0184947885691855,4.018323655853351,4.018156111835736,4.017992037308252,4.017831317538257,4.017673842098668,4.017519504704327,4.017368203054491,4.017219838681159,4.017074316803067,4.016931546185126
4.021682861967872,4.021471588618388,4.021264987278263,4.021062893883165,4.020865150900952,4.0206716070677535,4.020482117134467,4.020296541623355,4.020114746594316,4.019936603420455,4.019761988572616
4.0252256236081845,4.024967434507784,4.024715249770081,4.024468847162988,4.024228013806392,4.023992545771504,4.023762247697079,4.023536932421875,4.023316420632668,4.023100540527168,4.02288912749124
4.029141656929366,4.028829048270816,4.028524066182776,4.028226413964415,4.027935808071984,4.02765197752316,4.027374663327989,4.027103617945363,4.0268386047638485,4.026579397605849,4.026325780254035
4.033449306367968,4.033074010422021,4.032708298089161,4.032351778436558,4.032004078749844,4.031664843664118,4.031333734335975,4.031010427654758,4.030694615491164,4.030386003981504,4.030084312845928
4.03816666144329,4.037719611974008,4.037284487317304,4.036860778564847,4.03644800167142,4.036045696208791,4.035653424181596,4.03527076890228,4.034897333922176,4.03453274201598,4.034176634216995
4.0433115435355305,4.042782841875513,4.042268844216996,4.041768895387766,4.041282373697695,4.040808689179781,4.040347281923164,4.039897620493467,4.039459200435939,4.039031542857127,4.038614193081026
4.048901495046887,4.048280376839657,4.047677238318509,4.0470912446012965,4.046521605345121,4.045967572299179,4.045428436991747,4.044903528544129,4.044392211604662,4.043893884396311,4.043407976871655
4.054953770674673,4.054228573286959,4.053525191103708,4.052842570266905,4.052179715499165,4.051535686744284,4.050909596000387,4.050300604334802,4.049707919070369,4.049130791133462,4.048568512554503
4.061485330558979,4.060643461161614,4.05982787064424,4.059037240374176,4.058270327963263,4.057525962712614,4.056803041329906,4.056100523903132,4.055417430115607,4.054752835687943,4.054105869033466
4.068512835096224,4.067540739408938,4.066600087891387,4.065689244039617,4.064806669621947,4.063950918572578,4.063120631265789,4.062314529147249,4.061531409700395,4.060770141727127,4.060029660923335
4.076052641234961,4.074935772927297,4.073856294428041,4.072812190149485,4.071801570023702,4.070822661403504,4.069873801488336,4.068953430241376,4.068060083766234,4.067192388113639,4.066349053490355
4.084120800091975,4.082843590829901,4.081610581515737,4.0804193072773725,4.079267462212411,4.078152888752332,4.077073567742378,4.076027609189382,4.075013243632813,4.074028814097318,4.073072768587734
4.092733055745666,4.091278885871108,4.089876680289256,4.088523444727185,4.087216384656486,4.085952891454951,4.084730529533764,4.0835470243632255,4.082400251334563,4.081288225399749,4.080209091435116
4.101904845080189,4.100256014908669,4.098667962968378,4.097137074569547,4.095659984142452,4.094233557388057,4.0928548747180775,4.0915212158917305,4.090230045762963,4.088979001058198,4.087765878110182
4.111651298568344,4.109789000288046,4.107997444971348,4.10627229455485,4.104609519515244,4.103005376033173,4.101456384862983,4.099959311781318,4.098511149496854,4.097109100912231,4.095750563637143
4.121987241893855,4.119891532047869,4.117877787827721,4.115940831799533,4.114075866160986,4.11227844374819,4.110544441279554,4.1088700346644185,4.107251676217288,4.105686073630775,4.104170170571422
4.132927198324905,4.130576970856907,4.128321302799785,4.126154047153865,4.124069521139963,4.122062469653888,4.120128031630179,4.118261709083699,4.116459338615956,4.114717065189914,4.113031317992441
4.1444853917606,4.141858351602981,4.139339955131921,4.136922940169846,4.134600608887936,4.132366782053515,4.130215757031386,4.128142269231092,4.126141456717193,4.12420882772278,4.122340230827521
4.156675750380757,4.153748387563015,4.150945368856237,4.148258154596928,4.145678887413213,4.143200335312848,4.140815839579415,4.138519267070183,4.136304966543188,4.134167728672552,4.132102749439573
4.169511910837114,4.166259475091277,4.163148832090708,4.160169984341288,4.1573137549250125,4.1545717171364185,4.151936130234673,4.149399880778912,4.1469564290604914,4.144599760188063,4.142324339419748
4.18300722293084,4.179403698769752,4.175961302773073,4.172668379831524,4.1695142568358685,4.166489156182878,4.163584117008609,4.160790923456989,4.15810203935336,4.155510548708994,4.153010101533658
4.197174754727333,4.193192836970714,4.189393414779979,4.185762954739896,4.182289093087215,4.178960529968917,4.1757669334030245,4.17269885204893,4.169747635976052,4.166905364694178,4.164164781776336
4.212027298064616,4.207638367787028,4.203455484386338,4.199462993013874,4.195646625752932,4.191993373016886,4.188491367057605,4.185129776439451,4.181898710441979,4.178789132452329,4.175792781496813
4.227577374416474,4.222751475290543,4.218157517024808,4.213777456177691,4.209594886880656,4.2055948852063,4.201763868566551,4.198089468683035,4.194560416812725,4.191166440039615,4.187898167558297
4.243837241075718,4.238543056083254,4.233509214309631,4.228714990867998,4.224141586535113,4.219771940293936,4.215590560429718,4.211583372334039,4.207737581354486,4.204041549192961,4.200484682504323
4.2608188976267645,4.255023726109759,4.249519981292995,4.244283936571694,4.23929412101171,4.234531094571199,4.229977246107662,4.225616611847715,4.221434712233463,4.217418405271967,4.2135557547052285
4.278534092680148,4.272203827702948,4.2661989339254935,4.260492333537442,4.255059581192135,4.249878595631009,4.244929419153575,4.240194002026072,4.235656009225281,4.231300647185808,4.2271145084627
4.29699433084458,4.290093436837964,4.28355490669541,4.277347930835557,4.271444761016864,4.265820391219592,4.260452272398245,4.255320057485667,4.250405373416651,4.245691617284577,4.241163774053202
4.316210879914941,4.308702370572159,4.3015964604242605,4.294858194543699,4.288456166052294,4.282362138151403,4.276550707166992,4.270999002127207,4.265686416880257,4.260594371197265,4.255706097693782
4.336194778256966,4.328040194651274,4.320331890198539,4.313030316038311,4.306100022132675,4.29950921126789,4.293229342510021,4.287234778589344,4.281502472306293,4.276011687600997,4.270743751416076
4.35695684237164,4.348116231264225,4.339769233419789,4.331871220373959,4.32438228405932,4.317266712423055,4.3104925244299,4.304031057671237,4.297856602576292,4.291946077908261,4.286278742836459
4.378507674624209,4.368939566930853,4.359916277957112,4.351387574734699,4.343308644341479,4.335639479480768,4.328344335091788,4.321391247710424,4.314751610266768,4.3083997958607645,4.302312824812068
4.400857671124528,4.39051906050878,4.3807805703880005,4.371585796943418,4.362884541965122,4.35463209531054,4.3467886020038895,4.339318503904301,4.332190047071948,4.3253748470202025,4.318847504974075
