D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w)
0.0,0.0,0.0,0.0,0.0
0.03279584,0.03279584,0.03279584,0.03279584,0.03279584
0.2110053673686567,0.2110053673686567,0.2110053673686567,0.2110053673686567,0.21100536736865672
0.3746834413927463,0.3746834413927463,0.3746834413927463,0.3746834413927463,0.37468344139274634
0.5248828091532796,0.5248828101271953,0.524882811101111,0.5248828120750267,0.5248828130489425
0.6633516712657412,0.6633516834942299,0.6633516957118039,0.6633517079184633,0.6633517201142082
0.7915342242927879,0.7915342803144936,0.7915343361989764,0.7915343919464849,0.7915344475572672
0.9105819719374344,0.9105821405203248,0.9105823084117172,0.9105824756148402,0.9105826421329136
1.0214261162758749,1.0214265151728767,1.0214269117680217,1.021427306079097,1.0214276981237818
1.1248351719405572,1.1248359780602917,1.1248367781895785,1.1248375723933526,1.124838360735905
1.2214556667304566,1.2214571229157385,1.2214585658895856,1.22145999583641,1.2214614129380688
1.3118406793927546,1.3118430973725634,1.311845489509087,1.3118478562432694,1.311850198008198
1.3964701708056138,1.3964739301374975,1.3964776433352584,1.3964813113279797,1.3964849350245008
1.4757657767937384,1.4757713197836786,1.4757767861722717,1.475782177735072,1.4757874962019224
1.5501018006257243,1.5501096233271752,1.5501173261403836,1.550124912203525,1.5501323845616382
1.6198135432325822,1.6198241827026023,1.6198346435914834,1.6198449310997085,1.619855050253122
1.6852037290881472,1.6852177471277232,1.6852315101761346,1.6852450263947536,1.685258303639337
1.746547542860961,1.7465655064966714,1.746583119227586,1.7466003932728509,1.7466173403473553
1.804096634132851,1.804119093113487,1.8041410847866728,1.804162626701943,1.804183735618451
1.858082342880798,1.8581098044693696,1.858136661973714,1.858162939671143,1.8581886606555797
1.908718327703527,1.9087512290450968,1.9087833706848976,1.9088147850642416,1.9088455029252445
1.956202730048499,1.9562414083895328,1.9562791558556047,1.9563160143993792,1.9563520236276037
2.0007199735160253,2.000764634542918,2.000808183347832,2.000850672476967,2.00089215135841
2.042442272941193,2.042492957495426,2.0425423461387235,2.042590502596179,2.0426374866033608
2.081530910300898,2.081587459716673,2.0816425378312906,2.08169621934354,2.081748574048187
2.118137321526152,2.1181993418239204,2.118259737539845,2.1183185929883206,2.118375986719063
2.152404028649749,2.1524708538061934,2.152535940551982,2.1525993798688523,2.152661256317725
2.184465444450527,2.1845360989526026,2.1846049619001,2.1846721258853727,2.184737676847874
2.214448571218883,2.2145217320966326,2.2145931344392094,2.2146628646793443,2.2147310030945517
2.2424736110071826,2.24254756952737,2.2426199187674296,2.242690727819435,2.2427600612593475
2.2686545014177653,2.2687271246080143,2.268798439015385,2.2688684810049287,2.2689372857457837
2.293099388385471,2.293168080546594,2.2932359559358853,2.293302997703182,2.293369193496042
2.315911045359549,2.315972709712148,2.31603428667412,2.316095679587363,2.316156805230724
2.337187246654903,2.3372382472550988,2.337290178964637,2.3373428315074745,2.337396021311016
2.357021101430583,2.3570572254789166,2.357095646190293,2.3571359974172594,2.357177958633081
2.3755013536932785,2.37551777435038,2.3755382686790827,2.375562262621024,2.375589253906764
2.3927126528614364,2.392703892673999,2.3927014657535297,2.3927045268437905,2.392712337810841
2.408735798720293,2.408695693751149,2.4086647423427747,2.408641751924289,2.4086256838138818
2.423647964017695,2.4235696287644064,2.423503913387903,2.423449187351273,2.423404034871446
2.4375228974704344,2.437398690647729,2.4372913087916377,2.4371985763847803,2.437118610732135
2.450431109551507,2.450252600804116,2.450095961264933,2.449958345105892,2.4498372981875574
2.4624400430949884,2.462197980698955,2.4619837790899863,2.4617937764060382,2.461624826269343
2.473614230475028,2.473298510077362,2.4730177055396623,2.472767170647855,2.4725429281178495
2.484015438879098,2.4836150733177416,2.483257866457652,2.482937994494383,2.482650491012523
2.493702804995402,2.493205895233858,2.492761707304106,2.492363019204294,2.4920036958552716
2.5027329602639776,2.5021266674676275,2.501584120801815,2.5010964495215955,2.500656147229464
2.5111601476954646,2.5104306664696225,2.509777566173154,2.509190044143863,2.5086589950132416
2.519036331136681,2.5181688639397466,2.517392180833889,2.51669322862936,2.516061048402612
2.5264112977545885,2.525390030493379,2.5244758853031857,2.523653201497111,2.5229088830939337
2.5333327544172937,2.5321408332257125,2.531074481997014,2.530115034182274,2.529246942284151
2.539846418570037,2.5384659277667483,2.5372317484923244,2.536121765429804,2.5351176320682076
2.5459961041338324,2.5444080453495914,2.5429895257800097,2.5417144906404943,2.5405614117446182
2.5518238028929585,2.550008075353716,2.5483878019641923,2.54693244662347,2.5456168794805865
2.5573697617835585,2.555305143731479,2.5534647918124795,2.5518130921568014,2.550320853736093
